time,rpm,load,temp,short_term_fuel_trim_1,long_term_fuel_trim_1,short_term_fuel_trim_2,long_term_fuel_trim_2,speed,timing_advance,intake_air_temp,maf
1441802673,2115.75,47.05882353,97,0,0.78125,2.34375,0.78125,110,31,15,BADDATA
1441802675,2107.75,45.88235294,BADDATA,0.78125,0.78125,4.6875,BADDATA,109,32,15,27.07
1441802677,2100.75,BADDATA,97,0,0.78125,5.46875,0.78125,109,31.5,15,BADDATA
1441802679,2097.25,49.01960784,97,BADDATA,0.78125,3.125,0.78125,109,28.5,15,32.61
1441802681,2115.75,57.25490196,97,0,0.78125,BADDATA,0.78125,110,29.5,15,24.91
1441802683,2122,45.09803922,97,-0.78125,0.78125,3.90625,0.78125,110,30.5,BADDATA,25.91
1441802685,2119.5,47.45098039,97,0,0.78125,3.125,0.78125,110,32.5,15,14.95
1441802687,2097.25,BADDATA,98,BADDATA,0,6.25,0,108,29.5,15,11.12
1441802689,2064.25,28.23529412,98,2.34375,0,BADDATA,0,106,34.5,15,17.44
1441802691,2035.75,40,98,7.8125,0.78125,3.125,0.78125,105,35,15,15.94
1441802693,2020,40.78431373,98,6.25,0.78125,8.59375,0.78125,105,30,15,23.86
1441802695,BADDATA,50.58823529,98,1.5625,0.78125,3.90625,0.78125,105,29.5,15,26.63
1441802696,2023.25,52.15686275,98,1.5625,0.78125,3.90625,BADDATA,105,BADDATA,BADDATA,27.07
1441802698,2027.5,52.94117647,BADDATA,3.90625,0.78125,-0.78125,0.78125,BADDATA,30,15,23.42
1441802700,2032.5,48.23529412,98,3.125,0.78125,5.46875,0.78125,105,30,15,26.63
1441802702,2030,51.76470588,98,BADDATA,0.78125,BADDATA,0.78125,BADDATA,32.5,15,12.79
1441802704,2005.5,30.98039216,98,5.46875,0,3.90625,0,103,30,15,11.35
1441802705,1953.75,29.41176471,98,5.46875,0,1.5625,0,100,28,15,7.47
1441802707,1850.25,22.35294118,BADDATA,1.5625,0,-0.78125,0,95,27,15,6.81
1441802709,1748.75,20.39215686,97,-7.8125,0.78125,-1.5625,BADDATA,95,16,15,36.93
1441802711,1837.5,64.70588235,97,0,0.78125,-1.5625,0,96,12,15,40.69
1441802713,1872.5,71.76470588,97,4.6875,0,0,0.78125,98,19,BADDATA,34.38
1441802715,1904,61.96078431,97,-2.34375,0.78125,3.125,0.78125,100,26,BADDATA,BADDATA
1441802716,1920,44.70588235,BADDATA,-1.5625,0.78125,2.34375,0.78125,99,29,15,21.65
1441802718,1901,48.62745098,97,3.90625,0.78125,4.6875,0.78125,98,34,15,16.22
1441802720,1887.5,64.31372549,97,0,0.78125,-1.5625,0.78125,99,29,15,24.91
1441802722,1897.5,52.15686275,97,4.6875,0.78125,-0.78125,0.78125,99,29.5,15,22.64
1441802724,1906.75,49.80392157,97,-0.78125,0.78125,3.90625,0.78125,BADDATA,29.5,15,21.15
1441802725,BADDATA,48.23529412,97,0,0.78125,3.90625,0.78125,100,29.5,15,22.48
1441802727,1921.5,50.58823529,BADDATA,0.78125,0.78125,6.25,0.78125,101,29,15,23.97
1441802729,BADDATA,45.49019608,98,0.78125,0.78125,2.34375,BADDATA,101,34.5,BADDATA,BADDATA
1441802731,1945.5,BADDATA,BADDATA,1.5625,0.78125,0,0,101,30.5,15,11.35
1441802733,BADDATA,30.19607843,98,1.5625,0,0,0,99,28,15,10.9
1441802734,1899.5,29.41176471,98,0.78125,0,1.5625,0,98,28.5,15,9.24
1441802736,1875.25,39.60784314,98,3.125,0.78125,2.34375,0.78125,BADDATA,31,15,16.72
1441802738,1878.75,40.78431373,99,0,0.78125,3.125,0.78125,BADDATA,BADDATA,15,BADDATA
1441802740,1885.25,49.80392157,99,6.25,0.78125,4.6875,0.78125,99,29,15,12.73
1441802742,1904.75,33.7254902,99,5.46875,0,2.34375,0,98,30.5,15,10.9
1441802744,1886,31.37254902,99,0.78125,0,2.34375,0,97,29.5,15,8.41
1441802746,1808.75,24.31372549,99,0.78125,0,0,0,94,27.5,15,6.42
1441802748,1704.5,20.78431373,98,-9.375,0,-7.8125,0,BADDATA,27.5,15,12.4
